Query,Locale,Total Clicks,"Results (Entity, (Clicks;Average Position))"
levante,pt,1539," (1351;1.05),  (88;2.05),  (71;2.0), Jéssica Silva-Portugal-Player-Futebol-Q17388756 (13;2.08),  (6;1.0),  (5;7.0),  (5;3.0)"
leverense,pt,2457,"Leverense-Portugal-Team-Futebol (1766;1.0), Leverense Sub-19-Portugal-Team-Futebol (241;2.47), Leverense Sub-17-Portugal-Team-Futebol (166;2.93), Leverense B-Portugal-Team-Futebol (99;5.07), Leverense Sub-15-Portugal-Team-Futebol (98;4.51), Leverense Sub-13-Portugal-Team-Futebol (73;5.59), Leverense Sub-23-Portugal-Team-Futebol (10;6.9), Leverense Veteranos-Portugal-Team-Futebol (4;6.75)"
libertadores,br,1575,"Copa Libertadores-Continental-Competition-Futebol-Q184795 (1521;1.0), Copa Libertadores Feminina-Continental-Competition-Futebol (29;2.41), Copa Libertadores Sub-20 Sub-20-Continental-Competition-Futebol (10;5.0), Copa Libertadores Futsal-Continental-Competition-Futsal (6;1.0), Qualificação Libertadores-Continental-Competition-Futebol (4;4.0), Supercopa Libertadores-Continental-Competition-Futebol (3;3.33), Copa Libertadores 1960-Continental-Edition-Futebol (2;9.0)"
liga,pt,6371,"Liga Portuguesa-Portugal-Competition-Futebol-Q182994 (4912;1.0), Liga dos Campeões-Continental-Competition-Futebol-Q18756 (803;2.15), Liga Espanhola-España-Competition-Futebol-Q324867 (252;3.02), Liga Italiana-Italia-Competition-Futebol-Q15804 (156;5.22), Liga Espanhola-España-Competition-Futebol-Q324867683 (98;6.69), Liga Espanhola-España-Competition-Futebol-Q32486718 (43;8.23), Liga Placard Futsal 2023/24-Portugal-Edition-Futsal (28;2.43), Segunda Liga Portuguesa-Portugal-Competition-Futebol (24;15.79), Premier League-Inglaterra-Competition-Futebol-Q9448 (24;2.0), Europa League-Continental-Competition-Futebol-Q18760 (7;7.57), Liga Portuguesa-Portugal-Competition-Futebol-Q182994791 (5;3.2), Liga Suiça-Suiza-Competition-Futebol (4;8.75), Liga Turca-Turquía-Competition-Futebol (4;10.0), Gondomar SC-Portugal-Team-Futebol (3;4.0), Premier League-Inglaterra-Competition-Futebol-Q9448815 (2;10.0), Premier League-Inglaterra-Competition-Futebol-Q9448719 (2;7.0), Segunda Liga Portuguesa-Portugal-Competition-Futebol64 (2;4.0), Taça da Liga-Portugal-Competition-Futebol (2;9.5)"
liga 3,pt,4078,"Liga 3-Portugal-Competition-Futebol (2887;1.5), Liga 3 2023/24-Portugal-Edition-Futebol (1138;1.05), Liga 3 Placard  2024/25-Portugal-Edition-Futebol (30;8.0), Liga 3 2021/22-Portugal-Edition-Futebol (10;6.7), Liga 3 2022/23-Portugal-Edition-Futebol (5;11.6), Zainadine Júnior-Mozambique-Player-Futebol (4;14.5), Taça da Liga Islandesa 3ª Divisão 2018-Islandia-Edition-Futebol (2;11.0), Tor. Interassociações Sub-16 Fem. 3ªE Liga Ouro Sub-16-Portugal-Edition-Futebol (2;9.0)"
liga dos campeoes,pt,1698,"Liga dos Campeões-Continental-Competition-Futebol-Q18756 (1611;1.0), Liga dos Campeões Feminina-Continental-Competition-Futebol (61;2.02), Liga dos Campeões CONCACAF-Continental-Competition-Futebol (16;3.0), Liga dos Campeões Andebol-Continental-Competition-Andebol-Q330395 (5;2.2), Liga dos Campeões Oceania-Continental-Competition-Futebol (3;4.0), Liga dos Campeões Hóquei Patins 2001/02-Continental-Edition-Hóquei em Patins (2;2.0)"
liga portuguesa,pt,2983,"Liga Portuguesa-Portugal-Competition-Futebol-Q182994 (2897;1.0), Segunda Liga Portuguesa-Portugal-Competition-Futebol (77;2.69), Liga Portuguesa 2000/01-Portugal-Edition-Futebol (7;6.86), Liga Portuguesa-Portugal-Competition-Futebol-Q182994791 (2;3.0)"
lille,pt,1726,"Lille-Francia-Team-Futebol-Q19516 (1699;1.02), Renato Sanches-Portugal-Player-Futebol-Q18394009 (15;2.0), Rafael Leão-Portugal-Player-Futebol-Q30055335 (5;3.0), Paulo Fonseca-Portugal-Coach-Futebol-Q10346582 (3;5.0), Tiago Djaló-Portugal-Player-Futebol-Q50349931 (2;4.0), Eden Hazard-Bélgica-Player-Futebol-Q214204 (2;11.5)"
limianos,pt,2584,"Limianos-Portugal-Team-Futebol (2220;1.0), Limianos Sub-19-Portugal-Team-Futebol (98;3.01), Limianos Sub-17-Portugal-Team-Futebol (77;5.29), Limianos Sub-15-Portugal-Team-Futebol (44;7.07), Artur Jorge-Portugal-Coach-Futebol (40;2.0), Limianos-Portugal-Team-Hóquei em Patins (35;1.49), Limianos Sub-17-Portugal-Team-Futebol (14;8.0), Limianos Sub-13-Portugal-Team-Futebol (11;5.82), Limianos Sub-14-Portugal-Team-Futebol (8;13.5), Limianos Veteranos-Portugal-Team-Futebol (6;4.33), Tomané-Portugal-Player-Futebol-Q7862292 (6;8.0), Limianos Sub-15-Portugal-Team-Futebol (6;10.17), Limianos Sub-17-Portugal-Team-Futebol (4;11.5), Limianos Sub-23-Portugal-Team-Hóquei em Patins (4;3.0), Limianos Sub-17-Portugal-Team-Futebol (3;10.67), Limianos Sub-11-Portugal-Team-Futebol (3;11.0), Limianos Sub-13-Portugal-Team-Hóquei em Patins (3;1.0), Pedro Tiba-Portugal-Player-Futebol-Q16232468 (2;129.0)"
liverpool,br,1970,"Liverpool-Inglaterra-Team-Futebol-Q1130849 (1935;1.0), Mohamed Salah-Egipto-Player-Futebol-Q1354960 (16;2.06), Luis Suárez-Uruguay-Player-Futebol-Q26517 (5;2.2), Mario Balotelli-Italia-Player-Futebol-Q129700 (5;6.6), Philippe Coutinho-Brasil-Player-Futebol-Q311872 (5;4.0), Liverpool Montevideo-Uruguay-Team-Futebol (4;27.0)"
liverpool,pt,4843,"Liverpool-Inglaterra-Team-Futebol-Q1130849 (4727;1.0), Darwin Núñez-Uruguay-Player-Futebol-Q46372260 (58;2.02), Sebastián Coates-Uruguay-Player-Futebol-Q311941 (14;3.64), Diogo Jota-Portugal-Player-Futebol-Q19518278 (13;3.08), Mohamed Salah-Egipto-Player-Futebol-Q1354960 (10;3.9), Luis Díaz-Colombia-Player-Futebol-Q28531111 (6;10.83), Mario Balotelli-Italia-Player-Futebol-Q129700 (5;6.4), Jürgen Klopp-Alemania-Coach-Futebol-Q83106 (5;11.2), Everton-Inglaterra-Team-Futebol-Q5794 (3;5.0), Philippe Coutinho-Brasil-Player-Futebol-Q311872 (2;8.5)"
lixa,pt,5295,"Lixa-Portugal-Team-Futebol (4822;1.0), Lixa Sub-15-Portugal-Team-Futebol (152;4.03), Lixa B-Portugal-Team-Futebol (126;2.95), Lixa Sub-13-Portugal-Team-Futebol (61;9.39), Lixa Sub-19-Portugal-Team-Futebol (50;7.14), Álvaro Pacheco-Portugal-Coach-Futebol (32;2.12), Lixa Sub-17-Portugal-Team-Futebol (17;6.29), Gonçalo Lixa-Portugal-Player-Futebol (9;15.67), Lixa-Cabo Verde-Player-Futebol (6;13.17), Lixa-Portugal-Team-Futsal (4;1.0), Lixa Veteranos-Portugal-Team-Futebol (4;9.5), Lixa Sub-23-Portugal-Team-Futebol (3;14.67), Lixa Sub-21-Portugal-Team-Futebol (3;12.33), Unidos Lixa-Portugal-Team-Futebol (2;5.0), GDC Macieira da Lixa-Portugal-Team-Futebol (2;11.0), Lixa Sub-14-Portugal-Team-Futebol (2;8.0)"
lobao,pt,1988,"ADC Lobão-Portugal-Team-Futebol (1903;1.01), ADC Lobão Feminino-Portugal-Team-Futebol (48;2.0), ADC Lobão Sub-17-Portugal-Team-Futebol (12;6.83), ADC Lobão Sub-19-Portugal-Team-Futebol (12;6.42), ADC Lobão Sub-15-Portugal-Team-Futebol (6;7.5), Lobão-Brasil-Player-Futebol-Q30122625 (4;13.0), Lobão-Portugal-Player-Futebol (3;4.0)"
lomba,pt,3566,"Lomba SC Amarante-Portugal-Team-Futebol (3504;1.58), UD Lomba-Portugal-Team-Futebol (16;10.0), Lomba SC Amarante Sub-19-Portugal-Team-Futebol (7;17.43), SC Lomba-Portugal-Team-Futebol (7;8.0), Milan-Italia-Team-Futebol-Q1543 (6;1.33), Lomba SC Amarante Sub-15-Portugal-Team-Futebol (6;17.33), Lomba SC Amarante Sub-17-Portugal-Team-Futebol (5;15.8), Internazionale-Italia-Team-Futebol-Q631 (4;3.5), Sérgio Lomba-Mozambique-Player-Futebol-Q31551036 (3;11.0), Lomba Paramos-Portugal-Team-Futebol (3;9.0), AM Lomba-Portugal-Team-Futsal (3;2.0), Pedro Neto-Portugal-Player-Futebol-Q30036972 (2;3.0)"
louletano,pt,2267,"Louletano-Portugal-Team-Futebol (2004;1.0), Louletano B-Portugal-Team-Futebol (61;9.3), Louletano Sub-19-Portugal-Team-Futebol (47;5.83), Louletano Sub-17-Portugal-Team-Futebol (36;5.31), Louletano Sub-15-Portugal-Team-Futebol (26;5.19), Louletano Veteranos-Portugal-Team-Futebol (24;2.42), Louletano-Portugal-Team-Futsal (17;1.12), Louletano Sub-15-Portugal-Team-Futebol (11;11.09), Louletano Sub-13-Portugal-Team-Futebol (11;4.18), Leonardo Lelo-Portugal-Player-Futebol-Q113110927 (11;2.0), Louletano Sub-23-Portugal-Team-Futebol (9;6.33), Louletano Sub-15-Portugal-Team-Futebol (3;14.33), Louletano Sub-17-Portugal-Team-Futebol (3;12.33), Louletano-Portugal-Team-Futsal (2;2.0), Louletano Sub-19-Portugal-Team-Futebol (2;12.5)"
lourel,pt,3096,"Sp. Lourel-Portugal-Team-Futebol (2173;1.0), Sp. Lourel Sub-15-Portugal-Team-Futebol (275;2.2), Sp. Lourel Sub-17-Portugal-Team-Futebol (217;2.86), Sp. Lourel Sub-19-Portugal-Team-Futebol (155;4.5), Sp. Lourel Sub-14-Portugal-Team-Futebol (143;4.53), Sp. Lourel Sub-16-Portugal-Team-Futebol (97;6.19), Sp. Lourel Sub-13-Portugal-Team-Futebol (24;6.58), Sp. Lourel Veteranos-Portugal-Team-Futebol (5;9.8), Sp. Lourel Sub-18-Portugal-Team-Futebol (3;7.67), Henrique Feiteiro-Portugal-Player-Futebol (2;23.0), Sp. Lourel Sub-17-Portugal-Team-Futebol (2;9.0)"
loures,pt,4036,"GS Loures-Portugal-Team-Futebol (3906;1.0), Pinheiro Loures-Portugal-Team-Futebol (19;7.0), Bobadelense-Portugal-Team-Futebol (14;2.0), GS Loures-Portugal-Team-Andebol (12;2.17), At. Tojal-Portugal-Team-Futebol (9;3.22), GS Loures-Portugal-Team-Futsal (8;2.0), SC Frielas-Portugal-Team-Futebol (6;6.0), GS Loures-Portugal-Team-Futsal (6;2.0), AMSAC-Portugal-Team-Futsal (5;1.0), Águias de Camarate-Portugal-Team-Futebol (5;3.4), André Almeida-Portugal-Player-Futebol-Q1496559 (4;8.0), AMSAC-Portugal-Team-Futebol (3;11.33), Basket Loures-Portugal-Team-Basquetebol (3;1.0), CCD Loures-Portugal-Team-Voleibol (3;1.0), GS Loures Sub-19-Portugal-Team-Futebol (3;16.33), GS Loures Sub-16-Portugal-Team-Andebol (3;1.0), Académico de Loures Sub-17-Portugal-Team-Futsal (3;20.0), GS Loures Sub-16-Portugal-Team-Futebol (3;18.33), EAS Loures-Portugal-Team-Futebol (3;10.33), GS Loures Sub-15-Portugal-Team-Futebol (2;16.0), Portela-Portugal-Team-Futsal (2;22.0), Basket Loures Sub-14-Portugal-Team-Basquetebol (2;7.0), Basket Loures Sub-18-Portugal-Team-Basquetebol (2;5.0), SC Sanjoanense-Portugal-Team-Futebol (2;5.0), CB Loures-Portugal-Team-Futebol (2;12.0), GS Loures-Portugal-Team-Futebol de Praia (2;2.0), Académico de Loures-Portugal-Team-Futebol (2;13.0), CF Loures-Portugal-Team-Futsal (2;4.0)"
lourosa,pt,6089,"Lusitânia de Lourosa-Portugal-Team-Futebol (5758;1.0), Lusitânia de Lourosa-Portugal-Team-Futsal (83;1.0), Lusitânia de Lourosa-Portugal-Team-Futsal (82;4.01), Fernando Couto-Portugal-Player-Futebol-Q313468 (57;2.02), Lusitânia de Lourosa Feminino-Portugal-Team-Futebol (38;5.92), Lusitânia de Lourosa Sub-19-Portugal-Team-Futebol (21;14.67), GD Lourosa-Portugal-Team-Futebol (8;3.5), Lusitânia de Lourosa Sub-17-Portugal-Team-Futebol (7;17.29), Pedro Martins-Portugal-Coach-Futebol-Q7159755 (7;4.29), Futsal Lourosa-Portugal-Team-Futebol (7;6.71), Lusitânia de Lourosa Sub-15-Portugal-Team-Futebol (6;18.67), Futsal Lourosa-Portugal-Team-Futsal (3;3.0), Lourosa de Baixo -Portugal-Team-Futebol (3;9.33), Renato Coimbra-Portugal-Coach-Futebol (3;5.67), Lusitânia de Lourosa Sub-16-Portugal-Team-Futebol (2;17.5), Lusitânia de Lourosa Veteranos-Portugal-Team-Futebol (2;19.0), Lusitânia de Lourosa Sub-15-Portugal-Team-Futebol (2;40.0)"
lousada,pt,6807,"Lousada-Portugal-Team-Futebol (6494;1.0), Aparecida-Portugal-Team-Futebol (106;2.0), AD Lustosa-Portugal-Team-Futebol (39;3.05), Caíde Rei-Portugal-Team-Futebol (18;3.83), UCR Boim-Portugal-Team-Futebol (12;8.58), Lousada Sub-19-Portugal-Team-Futebol (10;50.3), Lousada AC-Portugal-Team-Basquetebol (9;2.0), ARD Macieira-Portugal-Team-Futebol (9;9.33), Lousada Sub-15-Portugal-Team-Futebol (8;23.75), UD Lagoas-Portugal-Team-Futebol (8;6.5), Romariz Lousada Feminino-Portugal-Team-Futebol (8;5.75), Lousada Sub-15-Portugal-Team-Futebol (7;51.29), LAC-Portugal-Team-Basquetebol (7;5.86), ASS Nevogilde-Portugal-Team-Futebol (6;5.5), Lousada Sub-19-Portugal-Team-Futebol (5;22.6), Lousada Sub-17-Portugal-Team-Futebol (4;24.0), FC Nespereira-Portugal-Team-Futebol (4;17.5), Romariz Lousada-Portugal-Team-Futebol (4;11.0), Águias de Figueiras-Portugal-Team-Futebol (4;15.25), ADC Lodares-Portugal-Team-Futebol (4;8.5), Lousada-Portugal-Team-Futsal (4;1.25), Lousada Feminino-Portugal-Team-Futebol (4;15.0), AFA de Lousada Sub 14-Portugal-Competition-Futebol (4;17.25), LAC Sub-19-Portugal-Team-Basquetebol (3;3.67), Romariz Lousada Sub-19-Portugal-Team-Futebol (3;20.33), Lousada AC Sub-18-Portugal-Team-Basquetebol (3;1.0), Estádio Municipal de Lousada-Portugal-Stadium-Futebol (3;7.67), Lousada Sub-13-Portugal-Team-Futebol (3;24.0), LAC Sub-20-Portugal-Team-Basquetebol (2;12.0), AFP Lousada-Portugal-Competition-Futebol (2;13.5), Pavilhão CCD Ordem/Lousada-Portugal-Stadium-Futebol (2;1.5), Pavilhão Municipal de Lousada-Portugal-Stadium-Futebol (2;3.0), Lousada Sub-17-Portugal-Team-Futebol (2;53.5), ADR Aveleda-Portugal-Team-Futebol (2;12.5), Os Pienses-Portugal-Team-Futebol (2;16.5)"
lousado,pt,1659,"CD Lousado-Portugal-Team-Futebol (1193;1.0), CD Lousado Sub-19-Portugal-Team-Futebol (205;2.31), CD Lousado Sub-17-Portugal-Team-Futebol (182;2.66), CD Lousado Sub-15-Portugal-Team-Futebol (68;3.97), CD Lousado Sub-13-Portugal-Team-Futebol (5;6.0), CD Lousado Veteranos-Portugal-Team-Futebol (3;5.0), CD Lousado-Portugal-Team-Futsal (3;1.0)"
luis castro,pt,2360,"Luís Castro-Portugal-Coach-Futebol-Q15896123 (2107;1.01), Luís Castro-Portugal-Coach-Futebol-Q112860643 (239;2.47), Luis Castro-Portugal-Player-Futebol (9;2.0), Luís Castro-Portugal-Coach-Futebol (3;4.67), Luís Castro-El Salvador-Player-Futebol (2;3.0)"
lusitania,pt,3961,"Lusitânia dos Açores-Portugal-Team-Futebol (3097;2.0), Lusitânia de Lourosa-Portugal-Team-Futebol (498;1.0), Lusitânia dos Açores-Portugal-Team-Futsal (131;1.12), Fernando Couto-Portugal-Player-Futebol-Q313468 (106;3.0), Lusitânia dos Açores Sub-19-Portugal-Team-Basquetebol (39;1.21), Lusitânia dos Açores Sub-16-Portugal-Team-Basquetebol (20;1.5), Lusitânia dos Açores Sub-19-Portugal-Team-Futebol (12;12.67), Lusitânia dos Açores-Portugal-Team-Basquetebol (6;22.0), Lusitânia de Lourosa-Portugal-Team-Futsal (6;6.33), Lusitânia de Lourosa-Portugal-Team-Futsal (5;2.4), Lusitânia dos Açores Sub-13-Portugal-Team-Futebol (5;10.0), Lusitânia dos Açores Sub-14-Portugal-Team-Basquetebol (5;2.0), Lusitânia dos Açores B-Portugal-Team-Futebol (4;15.0), Lusitânia dos Açores-Portugal-Team-Basquetebol (4;6.25), Lusitânia dos Açores Sub-18-Portugal-Team-Basquetebol (3;5.0), CF Lusitania-Portugal-Team-Futebol (3;4.33), Lusitânia dos Açores Sub-17-Portugal-Team-Futebol (3;14.0), Lusitânia dos Açores-Portugal-Team-Basquetebol (2;7.0), Lusitânia dos Açores Sub-12-Portugal-Team-Basquetebol (2;2.0), Lusitânia dos Açores Sub-16-Portugal-Team-Basquetebol (2;3.0), Lusitânia Coimbra-Portugal-Team-Futebol (2;5.0), Lusitânia de Lourosa Feminino-Portugal-Team-Futebol (2;7.0), Pedro Martins-Portugal-Coach-Futebol-Q7159755 (2;6.5), Lusitânia dos Açores Sub-15-Portugal-Team-Futebol (2;10.5)"
lusitano,pt,3891,"Lusit. Évora-Portugal-Team-Futebol (2677;1.0), Lusitano Vildemoinhos-Portugal-Team-Futebol (767;2.17), Lusitano VRSA-Portugal-Team-Futebol (393;3.22), Rúben Silvestre-Portugal-Player-Futebol-Q16236539 (12;4.83), Lusitano Vildemoinhos-Portugal-Team-Andebol (10;1.1), Lusitano Retorta-Portugal-Team-Futebol (9;6.67), Lusitano Vildemoinhos Feminino-Portugal-Team-Futebol (6;12.17), Moncarapachense-Portugal-Team-Futebol (5;4.0), Lusitano VRSA Sub-17-Portugal-Team-Futebol (4;16.0), Lusitano Clube-Portugal-Team-Futebol (2;10.5), Lusitano VRSA Veteranos-Portugal-Team-Futebol (2;15.0), Arraiolense-Portugal-Team-Futebol (2;10.0), Lusitano VRSA-Portugal-Team-Futsal (2;1.5)"
lustosa,pt,2071,"AD Lustosa-Portugal-Team-Futebol (1927;1.0), CCR Lustosa-Portugal-Team-Futebol (43;2.0), AD Lustosa Sub-19-Portugal-Team-Futebol (32;6.03), AD Lustosa Sub-17-Portugal-Team-Futebol (18;7.06), AD Lustosa Sub-17-Portugal-Team-Futebol (17;7.88), CCR Lustosa Sub-15-Portugal-Team-Futebol (14;9.0), AD Lustosa Sub-15-Portugal-Team-Futebol (6;15.0), AD Lustosa Sub-12-Portugal-Team-Futebol (3;14.0), AD Lustosa Sub-13-Portugal-Team-Futebol (3;19.0), União Lustosa-Portugal-Team-Futebol (3;3.0), CCR Lustosa Sub-13-Portugal-Team-Futebol (3;11.0), AD Lustosa Veteranos-Portugal-Team-Futebol (2;5.0)"
lyon,pt,2609,"Lyon-Francia-Team-Futebol-Q704 (2537;1.0), Anthony Lopes-Portugal-Player-Futebol-Q1392235 (17;4.76), Paulo Fonseca-Portugal-Coach-Futebol-Q10346582 (13;2.0), Memphis Depay-Holanda-Player-Futebol-Q1894 (12;2.0), Anthony Martial-Francia-Player-Futebol-Q2091463 (8;5.38), Tiago-Portugal-Player-Futebol-Q210944 (4;10.0), Jéssica Silva-Portugal-Player-Futebol-Q17388756 (3;5.0), Lucas Paquetá-Brasil-Player-Futebol-Q30089624 (3;10.0), Karim Benzema-Francia-Player-Futebol-Q1912 (3;3.0), Lyon-Francia-Team-Futsal (3;1.0), RHC Lyon-Francia-Team-Hóquei em Patins (2;2.5), ASVEL-Francia-Team-Basquetebol (2;6.0), Lyon Feminino-Francia-Team-Futebol-Q1276685 (2;16.0)"
machico,pt,1584,"Machico-Portugal-Team-Futebol (1526;1.0), Costinha-Portugal-Player-Futebol-Q311087 (10;2.0), UDC Machico-Portugal-Team-Futebol (10;3.3), Machico Sub-13-Portugal-Team-Futebol (7;6.57), Machico B-Portugal-Team-Futebol (7;13.14), Machico Sub-19-Portugal-Team-Futebol (7;8.43), Machico Sub-17-Portugal-Team-Futebol (5;7.6), Machico Sub-15-Portugal-Team-Futebol (5;7.0), Machico-Portugal-Team-Voleibol (3;1.0), CF Caniçal-Portugal-Team-Futebol (2;4.0), Machico Sub-20-Portugal-Team-Futebol (2;5.5)"
mafra,pt,8265,"CD Mafra-Portugal-Team-Futebol-Q618990 (8125;1.0), At. Malveira-Portugal-Team-Futebol (30;2.03), Rui Borges-Portugal-Coach-Futebol-Q121147850 (26;2.35), CD Mafra-Portugal-Team-Futsal (15;1.0), CD Mafra-Portugal-Team-Futsal (13;2.0), Venda do Pinheiro-Portugal-Team-Futebol (8;3.38), CD Mafra Minis-Portugal-Team-Andebol (6;1.0), CD Mafra Sub-23-Portugal-Team-Futebol (6;17.17), Igreja Nova-Portugal-Team-Futebol (5;5.0), CD Mafra Sub-19-Portugal-Team-Andebol (3;7.0), Linces de Mafra-Portugal-Team-Basquetebol (3;1.0), Ousmane Diomande-Costa de Marfil-Player-Futebol (3;9.67), Pavilhão do Clube Desportivo de Mafra-Portugal-Stadium-Futebol (3;5.0), CD Mafra Sub-17-Portugal-Team-Futebol (3;21.67), Paulo Catarino-Portugal-Player-Futebol (2;11.5), CD Mafra Sub-11-Portugal-Team-Futsal (2;9.5), CD Mafra Sub-13-Portugal-Team-Futsal (2;7.5), CD Mafra Minis-Portugal-Team-Andebol (2;2.0), CD Mafra Sub-20-Portugal-Team-Andebol (2;3.0), Interoeste-Portugal-Team-Futebol (2;4.0), CD Mafra Sub-16-Portugal-Team-Andebol (2;14.0), CD Mafra Sub-19-Portugal-Team-Futebol (2;15.0)"
maia,pt,3962,"Maia Lidador-Portugal-Team-Futebol (3378;1.0), Maia Futsal-Portugal-Team-Futsal (127;2.99), Maia-Portugal-Team-Futebol (96;8.11), Maia Futsal-Portugal-Team-Futsal (73;5.11), Castêlo da Maia-Portugal-Team-Futebol (68;4.09), Folgosa da Maia-Portugal-Team-Futebol (36;3.11), HC Maia-Portugal-Team-Hóquei em Patins (31;1.0), Bruno Fernandes-Portugal-Player-Futebol-Q4979316 (31;2.1), Gondim-Maia-Portugal-Team-Futebol (25;5.24), Maia Basket-Portugal-Team-Basquetebol (15;3.0), Maia Basket-Portugal-Team-Basquetebol (9;1.0), Rui Silva-Portugal-Player-Futebol-Q16236537 (9;2.89), Arsenal Maia-Portugal-Team-Futsal (8;2.0), EF Macieira da Maia-Portugal-Team-Futebol (8;8.62), Carlos Secretário-Portugal-Player-Futebol-Q718284 (7;9.57), Maia Basket-Portugal-Team-Futebol (7;13.86), Maia Lidador Feminino-Portugal-Team-Futebol (5;10.4), Liga Desportiva da Câmara Municipal da Maia-Portugal-Competition-Futebol (4;7.5), Cristiano Maia-Portugal-Player-Futebol (4;6.75), Maia-Portugal-Team-Andebol (4;3.25), Maia Basket Sub-18-Portugal-Team-Basquetebol (4;3.5), HC Maia-Portugal-Team-Hóquei em Patins (4;5.0), Gondim-Maia Sub-13-Portugal-Team-Futebol (3;13.67), Martim Maia-Portugal-Player-Futebol (2;55.0), Maia Basket-Portugal-Team-Basquetebol (2;4.5), Maia - Açores-Portugal-Team-Futsal (2;15.0)"
maia lidador,pt,2307,"Maia Lidador-Portugal-Team-Futebol (1963;1.01), Maia Lidador Sub-19-Portugal-Team-Futebol (40;7.58), Maia Lidador Sub-15-Portugal-Team-Futebol (35;8.74), Maia Lidador Sub-19-Portugal-Team-Futebol (34;16.09), Maia Lidador Sub-13-Portugal-Team-Futebol (29;3.83), Maia Lidador Sub-17-Portugal-Team-Futebol (27;6.44), Rui Silva-Portugal-Player-Futebol-Q16236537 (26;2.0), Maia Lidador Sub-15-Portugal-Team-Futebol (23;16.43), Maia Lidador Sub-12-Portugal-Team-Futebol (16;19.38), Maia Lidador Sub-12-Portugal-Team-Futebol (16;13.0), Maia Lidador Sub-13-Portugal-Team-Futebol (16;16.12), Maia Lidador Feminino-Portugal-Team-Futebol (15;3.13), Maia Lidador Sub-17-Portugal-Team-Futebol (14;17.79), Maia Lidador Sub-14-Portugal-Team-Futebol (12;6.25), Maia Lidador Sub-15-Portugal-Team-Futebol (11;16.27), Maia Lidador B-Portugal-Team-Futebol (7;12.0), Maia Lidador Sub-23-Portugal-Team-Futebol (6;9.17), Mateus-Angola-Player-Futebol-Q725439 (4;13.0), Maia Lidador Sub-21-Portugal-Team-Futebol (4;9.0), Dinis Rodrigues-Portugal-Player-Futebol (3;36.0), Maia Lidador Veteranos-Portugal-Team-Futebol (3;6.0), Marco Faria-Portugal-Coach-Futebol (3;33.0)"
malveira,pt,5350,"At. Malveira-Portugal-Team-Futebol (4156;1.01), Malveira da Serra-Portugal-Team-Futebol (951;2.0), At. Malveira Feminino-Portugal-Team-Futebol (53;3.28), At. Malveira Sub-15-Portugal-Team-Futebol (43;8.26), At. Malveira Sub-19-Portugal-Team-Futebol (38;10.92), At. Malveira Sub-17-Portugal-Team-Futebol (24;6.21), At. Malveira Sub-16-Portugal-Team-Futebol (17;12.47), At. Malveira Sub-14-Portugal-Team-Futebol (15;8.27), At. Malveira Sub-17-Portugal-Team-Futebol (13;13.77), Marco Caneira-Portugal-Player-Futebol-Q343997 (10;3.8), Malveira da Serra Feminino-Portugal-Team-Futebol (6;4.67), At. Malveira Sub-13-Portugal-Team-Futebol (5;8.8), At. Malveira B-Portugal-Team-Futebol (4;15.25), At. Malveira Sub-11-Portugal-Team-Futebol (4;12.5), At. Malveira Sub-21-Portugal-Team-Futebol (3;12.33), Fred Malveira-Brasil-Player-Futebol (2;6.0), At. Malveira-Portugal-Team-Futsal (2;1.0), Malveira da Serra Sub-15-Portugal-Team-Futebol (2;14.0), Malveira da Serra Sub-17-Portugal-Team-Futebol (2;19.0)"
man,pt,2601,"Manchester United-Inglaterra-Team-Futebol-Q18656 (2363;2.01), Manchester City-Inglaterra-Team-Futebol-Q50602 (202;3.04), Cristiano Ronaldo-Portugal-Player-Futebol-Q11571 (34;1.0), José Mourinho-Portugal-Coach-Futebol-Q79983 (2;4.5)"
manchester,pt,6612,"Manchester United-Inglaterra-Team-Futebol-Q18656 (5813;2.07), Manchester City-Inglaterra-Team-Futebol-Q50602 (708;2.79), Cristiano Ronaldo-Portugal-Player-Futebol-Q11571 (66;1.0), José Mourinho-Portugal-Coach-Futebol-Q79983 (7;4.0), Ángel Di María-Argentina-Player-Futebol-Q251683 (4;5.0), Bruno Fernandes-Portugal-Player-Futebol-Q4979316 (4;7.5), Nani-Portugal-Player-Futebol-Q482947 (3;7.0), Ruben Amorim-Portugal-Coach-Futebol-Q368682 (3;9.0), Manchester United-Inglaterra-Team-Andebol (2;2.0), Manchester Giants-Inglaterra-Team-Basquetebol (2;1.5)"
manchester city,pt,2102,"Manchester City-Inglaterra-Team-Futebol-Q50602 (2042;1.0), Erling Haaland-Noruega-Player-Futebol-Q28967995 (33;2.27), João Cancelo-Portugal-Player-Futebol-Q6298063 (8;4.12), Nani-Portugal-Player-Futebol-Q482947 (8;2.75), Rodri Hernández-España-Player-Futebol-Q20994118 (5;2.4), Matheus Nunes-Portugal-Player-Futebol-Q96211488 (2;6.5), Rúben Dias-Portugal-Player-Futebol-Q21621168 (2;9.5), Bernardo Silva-Portugal-Player-Futebol-Q15521306 (2;5.0)"
